overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
190,Cincinnati Bengals,DEF,24,6,CIN,6,79.0,4.65,1.0,203.8,41.8,-15.9,-7.0,-32.3,25.3,42,
191,Jalen Nailor,WR,61,13,LV,13,130.6,9.04,0.85,167.2,18.2,-16.2,-7.5,-32.3,24.8,113,
192,AJ Barner,TE,23,9,SEA,11,142.4,9.97,0.84,170.7,41.6,-16.8,-8.5,-32.3,23.8,6,
193,New Orleans Saints,DEF,25,6,NO,8,77.0,4.53,1.0,208.4,34.3,-17.2,-9.0,-32.3,23.3,44,
194,Jordyn Tyson,WR,62,14,NO,8,111.0,16.32,0.357,140.2,27.5,-17.6,-27.1,0.0,-27.1,147,
195,Jake Elliott,K,22,6,PHI,10,90.0,5.46,0.97,197.0,24.0,-17.8,-10.0,-32.3,22.3,8,
196,Jalen McMillan,WR,63,14,TB,10,127.4,9.28,0.807,167.9,37.0,-18.3,-10.7,-32.3,21.6,105,
197,Omar Cooper,WR,64,14,NYJ,13,127.1,8.8,0.85,182.8,21.3,-18.5,-11.0,-32.3,21.3,9,
198,Washington Commanders,DEF,26,6,WAS,7,75.0,4.41,1.0,188.5,43.7,-18.5,-11.0,-32.3,21.3,15,
199,Ryan Fitzgerald,K,23,6,CAR,5,92.0,5.58,0.97,347.0,76.3,-18.7,-8.0,-38.6,30.6,0,
200,Malik Willis,QB,22,6,MIA,6,261.1,17.45,0.88,180.7,27.3,-19.1,-11.9,-32.3,20.4,209,
201,Cleveland Browns,DEF,27,6,CLE,11,74.0,4.35,1.0,204.4,54.8,-19.1,-12.0,-32.3,20.3,214,
202,Kayshon Boutte,WR,65,14,HOU,8,125.2,8.66,0.85,174.8,25.1,-19.7,-12.9,-32.3,19.4,195,
203,Chad Ryland,K,24,7,ARI,14,89.0,5.4,0.97,350.0,77.0,-20.7,-11.0,-38.8,27.8,0,
204,Ryan Flournoy,WR,66,14,DAL,14,121.2,8.39,0.85,192.8,35.2,-22.3,-16.9,-32.3,15.4,37,
205,Tyjae Spears,RB,43,12,TEN,9,114.6,8.43,0.8,143.5,23.7,-23.4,-34.4,-3.0,-31.4,117,
206,Tennessee Titans,DEF,28,7,TEN,9,67.0,3.94,1.0,215.5,48.6,-23.7,-19.0,-32.3,13.3,64,
207,Andre Szmyt,K,25,8,CLE,11,84.0,5.09,0.97,342.0,75.2,-23.8,-16.0,-38.4,22.4,0,
208,Joey Slye,K,26,8,TEN,9,84.0,5.09,0.97,351.0,77.2,-24.0,-16.0,-38.8,22.8,0,
209,Gunnar Helm,TE,24,10,TEN,9,130.3,9.12,0.84,233.1,51.3,-24.9,-20.6,-32.9,12.3,0,
210,Arizona Cardinals,DEF,29,7,ARI,14,66.0,3.88,1.0,273.0,60.1,-25.2,-20.0,-34.9,14.9,0,
211,New York Jets,DEF,30,7,NYJ,13,64.0,3.76,1.0,213.6,66.3,-25.6,-22.0,-32.3,10.3,6,
212,Las Vegas Raiders,DEF,31,7,LV,13,65.0,3.82,1.0,279.3,61.4,-26.0,-21.0,-35.2,14.2,0,
