overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
341,Matt Prater,K,41,17,FA,0,14.0,0.85,0.97,687.8,151.3,-75.4,-86.0,-55.7,-30.3,0,
342,Graham Gano,K,42,17,FA,0,14.0,0.89,0.921,691.0,152.0,-75.4,-86.0,-55.8,-30.2,0,
343,Michael Badgley,K,43,17,FA,0,14.0,0.85,0.97,698.0,153.6,-75.6,-86.0,-56.2,-29.8,0,
344,Jack Endries,TE,48,16,CIN,6,53.3,3.73,0.84,270,45.0,-75.6,-97.6,-34.8,-62.8,0,
345,Will Ferrin,K,44,18,FA,0,6.0,0.36,0.97,442.2,97.3,-76.3,-94.0,-43.4,-50.6,0,
346,CJ Daniels,WR,121,28,LAR,11,39.3,2.72,0.85,270,45.0,-76.4,-98.8,-34.8,-64.0,0,
347,Brenen Thompson,WR,122,28,LAC,7,39.0,2.84,0.807,270,45.0,-76.6,-99.1,-34.8,-64.3,0,
348,Bryce Lance,WR,123,28,NO,8,38.7,2.68,0.85,270,45.0,-76.8,-99.4,-34.8,-64.6,0,
349,Tez Johnson,WR,124,28,TB,10,38.4,2.66,0.85,270,45.0,-77.0,-99.7,-34.8,-64.9,0,
350,Demarcus Robinson,WR,125,28,SF,8,38.1,2.64,0.85,270,45.0,-77.2,-100.0,-34.8,-65.2,0,
351,Jaylin Lane,WR,126,28,WAS,7,37.7,2.61,0.85,270,45.0,-77.4,-100.4,-34.8,-65.6,0,
352,Xavier Hutchinson,WR,127,28,HOU,8,36.7,2.54,0.85,270,45.0,-78.1,-101.4,-34.8,-66.6,0,
353,Aaron Rodgers,QB,29,11,PIT,9,170.0,11.96,0.836,196.2,33.7,-78.3,-103.1,-32.3,-70.7,19,
354,Kaytron Allen,RB,74,23,WAS,7,45.9,3.34,0.808,239.1,52.6,-78.6,-103.1,-33.2,-69.9,0,
355,KeAndre Lambert-Smith,WR,128,28,LAC,7,35.5,2.46,0.85,270,45.0,-78.9,-102.6,-34.8,-67.8,0,
356,Treylon Burks,WR,129,29,WAS,7,34.8,2.41,0.85,270,45.0,-79.3,-103.3,-34.8,-68.5,0,
357,Jalen Tolbert,WR,130,29,MIA,6,34.2,2.37,0.85,270,45.0,-79.7,-103.9,-34.8,-69.1,0,
358,Jalen Royals,WR,131,29,KC,5,33.9,2.35,0.85,270,45.0,-79.9,-104.2,-34.8,-69.4,0,
359,Joe Royer,TE,49,16,CLE,11,57.8,7.36,0.462,683.0,150.3,-79.9,-93.1,-55.4,-37.7,0,
360,Jaylen Wright,RB,75,23,MIA,6,44.1,3.24,0.8,247.9,54.5,-80.0,-104.9,-33.7,-71.2,0,
361,Odell Beckham,WR,132,30,NYG,8,28.0,2.02,0.816,163.7,17.8,-80.2,-110.1,-24.7,-85.4,7,
362,Lenny Krieg,K,45,18,GB,11,6.0,0.36,0.97,677.5,149.1,-80.4,-94.0,-55.2,-38.8,0,
363,Kaelon Black,RB,76,23,SF,8,42.3,3.08,0.808,176.3,26.7,-80.7,-106.7,-32.3,-74.4,79,
364,Joshua Palmer,WR,133,30,BUF,7,32.6,2.26,0.85,270,45.0,-80.7,-105.5,-34.8,-70.7,0,
365,Kyle Williams,WR,134,30,NE,11,31.2,2.16,0.85,222.1,48.9,-80.8,-106.9,-32.4,-74.5,0,
366,Kevin Coleman,WR,135,30,MIA,6,32.4,2.24,0.85,270,45.0,-80.9,-105.7,-34.8,-70.9,0,
367,Savion Williams,WR,136,30,GB,11,32.0,4.71,0.357,270,45.0,-81.1,-106.1,-34.8,-71.3,0,
368,Isaiah Williams,WR,137,30,NYJ,13,31.3,2.17,0.85,270,45.0,-81.6,-106.8,-34.8,-72.0,0,
369,Colbie Young,WR,138,30,CIN,6,31.0,2.15,0.85,270,45.0,-81.8,-107.1,-34.8,-72.3,0,
370,Jimmy Horn,WR,139,30,CAR,5,30.2,2.09,0.85,270,45.0,-82.3,-107.9,-34.8,-73.1,0,
371,Devontez Walker,WR,140,31,BAL,13,29.9,2.07,0.85,270,45.0,-82.5,-108.2,-34.8,-73.4,0,
372,Nick Westbrook-Ikhine,WR,141,31,IND,13,29.5,2.04,0.85,270,45.0,-82.8,-108.6,-34.8,-73.8,0,
373,Elijah Higgins,TE,50,17,ARI,14,41.9,2.93,0.84,270,45.0,-83.0,-109.0,-34.8,-74.2,0,
374,Brandin Cooks,WR,142,31,FA,0,28.8,2.08,0.816,270,45.0,-83.2,-109.3,-34.8,-74.5,0,
375,Tyler Lockett,WR,143,31,FA,0,28.3,2.04,0.816,270,45.0,-83.5,-109.8,-34.8,-75.0,0,
376,Rasheen Ali,RB,77,24,BAL,13,38.7,2.85,0.8,270,45.0,-83.9,-110.3,-34.8,-75.5,0,
377,Kalif Raymond,WR,144,31,CHI,10,27.7,1.92,0.85,270,45.0,-83.9,-110.4,-34.8,-75.6,0,
378,Daniel Bellinger,TE,51,17,TEN,9,40.1,2.81,0.84,270,45.0,-84.2,-110.8,-34.8,-76.0,0,
379,Roman Wilson,WR,145,31,PIT,9,26.8,1.85,0.85,270,45.0,-84.5,-111.3,-34.8,-76.5,0,
380,Oscar Delp,TE,52,17,NO,8,39.4,2.9,0.798,270,45.0,-84.6,-111.5,-34.8,-76.7,0,
381,Reggie Virgil,WR,146,31,ARI,14,26.1,1.81,0.85,270,45.0,-85.0,-112.0,-34.8,-77.2,0,
382,Jahdae Walker,WR,147,31,CHI,10,25.9,1.79,0.85,270,45.0,-85.1,-112.2,-34.8,-77.4,0,
383,George Holani,RB,78,25,SEA,11,25.2,1.85,0.8,157.2,13.0,-85.2,-123.8,-13.5,-110.3,8,
384,Charlie Kolar,TE,53,17,LAC,7,38.4,2.69,0.84,270,45.0,-85.3,-112.5,-34.8,-77.7,0,
385,Seth McGowan,RB,79,25,IND,13,36.3,2.64,0.808,270,45.0,-85.4,-112.7,-34.8,-77.9,0,
386,Emari Demercado,RB,80,25,DAL,14,36.3,2.67,0.8,270,45.0,-85.4,-112.7,-34.8,-77.9,0,
387,Trevor Etienne,RB,81,25,CAR,5,36.2,5.32,0.336,270,45.0,-85.5,-112.8,-34.8,-78.0,0,
388,Lil'Jordan Humphrey,WR,148,32,DEN,10,24.0,1.66,0.85,270,45.0,-86.3,-114.1,-34.8,-79.3,0,
389,Zach Ertz,TE,54,17,FA,0,36.7,2.68,0.806,270,45.0,-86.4,-114.2,-34.8,-79.4,0,
390,Noah Fant,TE,55,17,NO,8,36.6,2.56,0.84,270,45.0,-86.5,-114.3,-34.8,-79.5,0,
391,Eric McAlister,WR,149,32,FA,0,30.1,2.19,0.807,509.9,112.2,-86.6,-108.0,-46.8,-61.2,0,
392,Deion Burks,WR,150,33,IND,13,23.3,1.61,0.85,270,45.0,-86.8,-114.8,-34.8,-80.0,0,
393,Jordan Whittington,WR,151,33,LAR,11,23.3,1.61,0.85,270,45.0,-86.8,-114.8,-34.8,-80.0,0,
394,David Sills,WR,152,33,TB,10,26.9,3.96,0.357,405.0,89.1,-86.8,-111.2,-41.5,-69.7,0,
395,Jonnu Smith,TE,56,17,GB,11,35.9,2.51,0.84,270,45.0,-86.9,-115.0,-34.8,-80.2,0,
396,Will Shipley,RB,82,26,PHI,10,33.8,2.49,0.8,270,45.0,-87.1,-115.2,-34.8,-80.4,0,
397,Kaleb Johnson,RB,83,27,GB,11,32.0,2.35,0.8,214.2,47.1,-87.4,-117.0,-32.3,-84.7,0,
398,Devin Neal,RB,84,27,FA,0,31.9,2.47,0.76,211.9,46.6,-87.4,-117.1,-32.3,-84.8,0,
399,Michael Trigg,TE,57,18,DAL,14,33.8,2.37,0.84,249.7,54.9,-87.9,-117.1,-33.8,-83.3,0,
400,Sam Roush,TE,58,18,CHI,10,33.5,2.35,0.84,270,45.0,-88.5,-117.4,-34.8,-82.6,0,
401,Cade Stover,TE,59,18,HOU,8,33.2,2.32,0.84,270,45.0,-88.7,-117.7,-34.8,-82.9,0,
402,Eli Raridon,TE,60,18,NE,11,33.0,2.31,0.84,270,45.0,-88.8,-117.9,-34.8,-83.1,0,
403,Tyler Higbee,TE,61,18,LAR,11,32.9,2.3,0.84,270,45.0,-88.9,-118.0,-34.8,-83.2,0,
404,Tanner Koziol,TE,62,18,JAX,7,32.8,2.3,0.84,270,45.0,-88.9,-118.1,-34.8,-83.3,0,
405,J'Mari Taylor,RB,85,27,JAX,7,30.7,2.24,0.808,270,45.0,-89.1,-118.3,-34.8,-83.5,0,
406,Devin Singletary,RB,86,27,NYG,8,30.6,2.42,0.744,270,45.0,-89.1,-118.4,-34.8,-83.6,0,
407,Jacoby Brissett,QB,30,12,ARI,14,153.0,10.23,0.88,200.0,45.0,-89.4,-120.1,-32.3,-87.7,22,
408,Aaron Anderson,WR,153,33,FA,0,30.2,2.2,0.807,674.9,148.5,-89.4,-107.9,-55.0,-52.9,0,
409,Adam Randall,RB,87,27,BAL,13,30.1,4.43,0.339,270,45.0,-89.5,-118.9,-34.8,-84.1,0,
410,DJ Giddens,RB,88,27,IND,13,30.0,2.21,0.8,270,45.0,-89.5,-119.0,-34.8,-84.2,0,
411,John Bates,TE,63,18,WAS,7,31.8,2.34,0.798,270,45.0,-89.6,-119.1,-34.8,-84.3,0,
412,Tommy Tremble,TE,64,18,CAR,5,31.8,2.23,0.84,270,45.0,-89.6,-119.1,-34.8,-84.3,0,
413,Matt Hibner,TE,65,19,BAL,13,31.8,2.23,0.84,270,45.0,-89.6,-119.1,-34.8,-84.3,0,
414,Drew Sample,TE,66,19,CIN,6,31.6,2.21,0.84,270,45.0,-89.7,-119.3,-34.8,-84.5,0,
415,Josh Oliver,TE,67,19,MIN,6,31.4,2.2,0.84,270,45.0,-89.8,-119.5,-34.8,-84.7,0,
416,Luke Schoonmaker,TE,68,19,DAL,14,31.4,2.2,0.84,270,45.0,-89.8,-119.5,-34.8,-84.7,0,
417,John Michael Gyllenborg,TE,69,19,KC,5,40.4,5.94,0.353,611.2,134.5,-90.0,-110.5,-51.8,-58.7,0,
418,Eric Rivers,WR,154,33,TB,10,29.4,2.03,0.85,695.3,153.0,-90.3,-108.7,-56.0,-52.7,0,
419,Tai Felton,WR,155,33,MIN,6,29.2,2.02,0.85,692.7,152.4,-90.4,-108.9,-55.9,-53.0,0,
420,Jermaine Burton,WR,156,34,FA,0,26.0,1.8,0.85,594.0,130.7,-90.7,-112.1,-51.0,-61.1,0,
421,Marquez Valdes-Scantling,WR,157,34,FA,0,26.9,1.86,0.85,629.8,138.6,-90.8,-111.2,-52.8,-58.4,0,
422,Najee Harris,RB,89,28,NYG,8,26.3,1.93,0.8,175.5,42.1,-91.1,-122.7,-32.3,-90.4,19,
423,Marlin Klein,TE,70,20,HOU,8,29.5,2.07,0.84,270,45.0,-91.1,-121.4,-34.8,-86.6,0,
424,Brevyn Spann-Ford,TE,71,20,DAL,14,29.4,2.06,0.84,270,45.0,-91.1,-121.5,-34.8,-86.7,0,
425,Brashard Smith,RB,90,28,KC,5,26.3,1.93,0.8,226.3,49.8,-91.2,-122.7,-32.6,-90.1,0,
426,Xavier Smith,WR,158,35,LAR,11,24.1,1.67,0.85,551.0,121.2,-91.2,-114.0,-48.8,-65.2,0,
427,Jawhar Jordan,RB,91,28,HOU,8,27.0,1.99,0.8,270,45.0,-91.5,-122.0,-34.8,-87.2,0,
428,Austin Hooper,TE,72,20,ATL,11,33.2,2.32,0.84,430.0,94.6,-91.5,-117.7,-42.8,-74.9,0,
429,Ben Sinnott,TE,73,21,WAS,7,27.5,2.03,0.798,270,45.0,-92.4,-123.4,-34.8,-88.6,0,
430,Demond Claiborne,RB,92,29,MIN,6,24.8,1.81,0.808,242.0,53.2,-92.4,-124.2,-33.4,-90.8,0,
431,Nate Boerkircher,TE,74,21,JAX,7,27.4,1.92,0.84,270,45.0,-92.4,-123.5,-34.8,-88.7,0,
432,Tahj Brooks,RB,93,29,CIN,6,24.4,1.79,0.8,270,45.0,-93.2,-124.6,-34.8,-89.8,0,
433,Kareem Hunt,RB,94,29,FA,0,24.2,2.02,0.704,270,45.0,-93.3,-124.8,-34.8,-90.0,0,
434,Audric Estime,RB,95,30,NO,8,22.6,1.66,0.8,237.4,52.2,-93.8,-126.4,-33.2,-93.2,0,
435,Ollie Gordon,RB,96,30,MIA,6,23.2,1.8,0.76,270,45.0,-93.9,-125.8,-34.8,-91.0,0,
436,Ja'Tavion Sanders,TE,75,22,CAR,5,24.9,1.74,0.84,270,45.0,-94.1,-126.0,-34.8,-91.2,0,
437,Jaren Kanak,TE,76,22,TEN,9,31.6,4.65,0.353,530.2,116.6,-94.3,-119.3,-47.8,-71.5,0,
438,Tutu Atwell,WR,159,36,LAR,11,10.7,0.74,0.85,270,45.0,-95.0,-127.4,-34.8,-92.6,0,
439,Jackson Hawes,TE,77,22,BUF,7,31.9,2.23,0.84,613.5,135.0,-95.5,-119.0,-52.0,-67.0,0,
440,Jam Miller,RB,97,31,FA,0,20.4,1.56,0.768,270,45.0,-95.8,-128.6,-34.8,-93.8,0,
441,Luke McCaffrey,WR,160,37,WAS,7,9.3,0.64,0.85,270,45.0,-95.9,-128.8,-34.8,-94.0,0,
442,Isaiah Hodgins,WR,161,37,FA,0,9.2,0.64,0.85,270,45.0,-96.0,-128.9,-34.8,-94.1,0,
443,Theo Wease,WR,162,37,LAC,7,8.9,0.62,0.85,270,45.0,-96.2,-129.2,-34.8,-94.4,0,
444,Lance Mason,TE,78,22,FA,0,31.6,2.21,0.84,685.2,150.7,-97.0,-119.3,-55.5,-63.8,0,
445,Malachi Corley,WR,163,38,CLE,11,6.8,0.47,0.85,242.0,53.2,-97.0,-131.3,-33.4,-97.9,0,
446,Miles Kitselman,TE,79,22,FA,0,31.6,2.33,0.798,694.9,152.9,-97.2,-119.3,-56.0,-63.3,0,
447,Darius Cooper,WR,164,38,PHI,10,6.7,0.46,0.85,270,45.0,-97.6,-131.4,-34.8,-96.6,0,
448,Dane Key,WR,165,38,DEN,10,6.6,0.46,0.85,270,45.0,-97.6,-131.5,-34.8,-96.7,0,
449,Kevin Austin,WR,166,38,NO,8,6.5,0.45,0.85,270,45.0,-97.7,-131.6,-34.8,-96.8,0,
450,Tim Patrick,WR,167,38,NYJ,13,13.7,0.95,0.85,573.0,126.1,-98.3,-124.4,-49.9,-74.5,0,
451,Dee Eskridge,WR,168,39,FA,0,4.9,0.34,0.85,270,45.0,-98.8,-133.2,-34.8,-98.4,0,
452,Dyami Brown,WR,169,39,WAS,7,4.9,0.34,0.85,270,45.0,-98.8,-133.2,-34.8,-98.4,0,
453,Kameron Johnson,WR,170,39,TB,10,4.8,0.33,0.85,270,45.0,-98.8,-133.3,-34.8,-98.5,0,
454,Dont'e Thornton,WR,171,39,LV,13,4.7,0.69,0.357,270,45.0,-98.9,-133.4,-34.8,-98.6,0,
455,Efton Chism,WR,172,39,NE,11,4.6,0.32,0.85,270,45.0,-98.9,-133.5,-34.8,-98.7,0,
456,Jacob Saylors,RB,98,31,DET,6,25.5,1.87,0.8,643.8,141.6,-99.0,-123.5,-53.5,-70.0,0,
457,Chase Roberts,WR,173,39,FA,0,6.6,0.48,0.807,350.0,77.0,-99.0,-131.5,-38.8,-92.7,0,
458,Kaden Wetjen,WR,174,40,PIT,9,4.2,0.29,0.85,270,45.0,-99.2,-133.9,-34.8,-99.1,0,
459,Jake Bobo,WR,175,40,SEA,11,4.2,0.62,0.357,270,45.0,-99.2,-133.9,-34.8,-99.1,0,
460,Desmond Reid,RB,99,31,FA,0,25.3,1.94,0.768,652.5,143.6,-99.3,-123.7,-53.9,-69.8,0,
461,JuJu Smith-Schuster,WR,176,40,FA,0,4.1,0.3,0.807,270,45.0,-99.3,-134.0,-34.8,-99.2,0,
462,Chris Moore,WR,177,40,BAL,13,4.1,0.28,0.85,270,45.0,-99.3,-134.0,-34.8,-99.2,0,
463,Will Dissly,TE,80,23,FA,0,27.0,1.99,0.798,647.0,142.3,-99.3,-123.9,-53.6,-70.3,0,
464,Adam Trautman,TE,81,23,DEN,10,27.8,1.95,0.84,682.8,150.2,-99.4,-123.1,-55.4,-67.7,0,
465,Josh Cuevas,TE,82,23,BAL,13,27.8,1.95,0.84,697.1,153.4,-99.7,-123.1,-56.1,-67.0,0,
466,Anthony Gould,WR,178,41,IND,13,3.2,0.22,0.85,270,45.0,-99.9,-134.9,-34.8,-100.1,0,
467,Brock Wright,TE,83,23,DET,6,27.3,1.91,0.84,690.8,152.0,-99.9,-123.6,-55.8,-67.8,0,
468,Ashton Dulin,WR,179,42,IND,13,3.0,0.21,0.85,270,45.0,-100.0,-135.1,-34.8,-100.3,0,
469,Mitchell Evans,TE,84,24,CAR,5,15.7,1.1,0.84,270,45.0,-100.1,-135.2,-34.8,-100.4,0,
470,Tip Reiman,TE,85,24,ARI,14,15.4,1.96,0.462,270,45.0,-100.2,-135.5,-34.8,-100.7,0,
471,DeAndre Hopkins,WR,180,43,FA,0,2.5,0.18,0.816,270,45.0,-100.3,-135.6,-34.8,-100.8,0,
472,Jordan Watkins,WR,181,43,SF,8,2.4,0.17,0.85,270,45.0,-100.4,-135.7,-34.8,-100.9,0,
473,Van Jefferson,WR,182,43,WAS,7,6.8,0.47,0.85,453.5,99.8,-100.7,-131.3,-44.0,-87.3,0,
474,DeAndre Carter,WR,183,44,FA,0,1.8,0.13,0.816,270,45.0,-100.8,-136.3,-34.8,-101.5,0,
475,Jacob Cowing,WR,184,45,SF,8,1.7,0.12,0.807,270,45.0,-100.8,-136.4,-34.8,-101.6,0,
476,Grant Calcaterra,TE,86,24,PHI,10,25.6,3.76,0.353,685.8,150.9,-100.9,-125.3,-55.6,-69.7,0,
477,Raheem Mostert,RB,100,32,FA,0,12.5,1.1,0.669,270,45.0,-100.9,-136.5,-34.8,-101.7,0,
478,Michael Penix,QB,31,13,ATL,11,135.2,10.04,0.792,227.9,50.1,-101.1,-137.9,-32.7,-105.2,0,
479,Dylan Laube,RB,101,33,LV,13,11.9,0.87,0.8,270,45.0,-101.3,-137.1,-34.8,-102.3,0,
480,LaJohntay Wester,WR,185,46,BAL,13,1.0,0.07,0.85,270,45.0,-101.3,-137.1,-34.8,-102.3,0,
481,James Proche,WR,186,47,FA,0,0.6,0.04,0.85,270,45.0,-101.5,-137.5,-34.8,-102.7,0,
482,Nikko Remigio,WR,187,47,KC,5,0.6,0.04,0.85,270,45.0,-101.5,-137.5,-34.8,-102.7,0,
483,Noah Brown,WR,188,47,FA,0,9.3,0.64,0.85,633.8,139.4,-102.3,-128.8,-53.0,-75.8,0,
484,Jarquez Hunter,RB,102,34,FA,0,9.6,0.71,0.8,240.6,52.9,-102.3,-139.4,-33.3,-106.1,0,
485,Tyler Johnson,WR,189,48,FA,0,6.5,0.45,0.85,537.5,118.2,-102.4,-131.6,-48.2,-83.4,0,
486,Arian Smith,WR,190,48,NYJ,13,7.1,0.49,0.85,562.2,123.7,-102.4,-131.0,-49.4,-81.6,0,
487,Jeremy McNichols,RB,103,34,WAS,7,9.4,1.38,0.296,270,45.0,-102.9,-139.6,-34.8,-104.8,0,
488,Austin Ekeler,RB,104,34,FA,0,9.3,0.78,0.704,270,45.0,-103.0,-139.7,-34.8,-104.9,0,
489,Bo Melton,WR,191,48,GB,11,9.8,0.68,0.85,695.0,152.9,-103.0,-128.3,-56.0,-72.3,0,
490,Dare Ogunbowale,RB,105,34,LV,13,9.2,0.77,0.704,270,45.0,-103.0,-139.8,-34.8,-105.0,0,
491,Josh Reynolds,WR,192,49,FA,0,6.5,0.45,0.85,583.7,128.4,-103.2,-131.6,-50.5,-81.1,0,
492,Cody White,WR,193,49,LV,13,8.5,0.59,0.85,664.0,146.1,-103.3,-129.6,-54.5,-75.1,0,
493,Tyler Badie,RB,106,35,DEN,10,8.4,0.62,0.8,270,45.0,-103.6,-140.6,-34.8,-105.8,0,
494,Dante Pettis,WR,194,50,FA,0,7.3,0.51,0.85,636.7,140.1,-103.6,-130.8,-53.1,-77.7,0,
495,Xavier Weaver,WR,195,50,FA,0,7.1,0.52,0.807,647.0,142.3,-103.9,-131.0,-53.6,-77.4,0,
496,Taysom Hill,TE,87,25,FA,0,9.5,0.67,0.84,270,45.0,-104.1,-141.4,-34.8,-106.6,0,
497,Roschon Johnson,RB,107,36,CHI,10,7.6,0.56,0.8,270,45.0,-104.1,-141.4,-34.8,-106.6,0,
498,Jaleel McLaughlin,RB,108,36,CLE,11,7.5,0.55,0.8,270,45.0,-104.1,-141.5,-34.8,-106.7,0,
499,Jeremy Ruckert,TE,88,25,NYJ,13,9.3,0.65,0.84,270,45.0,-104.2,-141.6,-34.8,-106.8,0,
500,Noah Thomas,WR,196,51,CIN,6,6.6,0.46,0.85,646.8,142.3,-104.2,-131.5,-53.6,-77.9,0,
501,Ronnie Rivers,RB,109,37,LAR,11,7.1,0.52,0.8,270,45.0,-104.4,-141.9,-34.8,-107.1,0,
502,David Moore,WR,197,52,CAR,5,4.3,0.3,0.85,575.5,126.6,-104.5,-133.8,-50.1,-83.7,0,
503,Trebor Pena,WR,198,52,JAX,7,6.6,0.46,0.85,662.5,145.8,-104.5,-131.5,-54.4,-77.1,0,
504,Kendre Miller,RB,110,38,NO,8,5.6,0.43,0.76,224.8,49.5,-104.6,-143.4,-32.5,-110.9,0,
505,Cedric Tillman,WR,199,52,NO,8,6.6,0.46,0.85,667.4,146.8,-104.6,-131.5,-54.7,-76.8,0,
506,Phil Mafah,RB,111,38,FA,0,6.7,0.49,0.8,270,45.0,-104.7,-142.3,-34.8,-107.5,0,
507,Mo Alie-Cox,TE,89,25,IND,13,15.4,1.08,0.84,527.6,116.1,-104.8,-135.5,-47.7,-87.8,0,
508,Lucas Krull,TE,90,26,DEN,10,8.1,0.57,0.84,270,45.0,-105.0,-142.8,-34.8,-108.0,0,
509,Isaac Guerendo,RB,112,39,SF,8,6.2,0.83,0.44,270,45.0,-105.0,-142.8,-34.8,-108.0,0,
510,Jalen Brooks,WR,200,52,ARI,14,6.5,0.45,0.85,691.3,152.1,-105.1,-131.6,-55.8,-75.8,0,
511,Dallin Holker,TE,91,27,FA,0,7.5,0.53,0.84,256.0,56.3,-105.1,-143.4,-34.1,-109.3,0,
512,Allen Lazard,WR,201,52,FA,0,6.4,0.44,0.85,694.8,152.9,-105.2,-131.7,-56.0,-75.7,0,
513,Tucker Fisk,TE,92,27,FA,0,7.5,0.53,0.84,270,45.0,-105.4,-143.4,-34.8,-108.6,0,
514,Julius Chestnut,RB,113,40,TEN,9,5.6,0.41,0.8,270,45.0,-105.4,-143.4,-34.8,-108.6,0,
515,Sterling Shepard,WR,202,53,FA,0,0.6,0.04,0.85,507.0,111.5,-105.7,-137.5,-46.6,-90.9,0,
516,Curtis Samuel,WR,203,53,FA,0,5.3,0.37,0.85,688.8,151.5,-105.8,-132.8,-55.7,-77.1,0,
517,Xavier Restrepo,WR,204,54,TEN,9,4.8,0.33,0.85,675.0,148.5,-105.9,-133.3,-55.0,-78.3,0,
518,Raheim Sanders,RB,114,41,CLE,11,4.7,0.35,0.8,270,45.0,-106.0,-144.3,-34.8,-109.5,0,
519,Tyrell Shavers,WR,205,55,BUF,7,4.0,0.5,0.468,651.4,143.3,-106.0,-134.1,-53.9,-80.2,0,
520,Dareke Young,WR,206,55,LV,13,4.6,0.32,0.85,676.0,148.7,-106.1,-133.5,-55.1,-78.4,0,
521,Tylan Wallace,WR,207,56,CLE,11,4.2,0.29,0.85,669.8,147.4,-106.2,-133.9,-54.8,-79.1,0,
522,Dameon Pierce,RB,115,42,PHI,10,4.3,0.32,0.8,270,45.0,-106.2,-144.7,-34.8,-109.9,0,
523,Ricky White,WR,208,56,SEA,11,4.2,0.29,0.85,676.5,148.8,-106.3,-133.9,-55.1,-78.8,0,
524,Jamal Haynes,RB,116,43,FA,0,4.0,0.29,0.808,270,45.0,-106.4,-145.0,-34.8,-110.2,0,
525,Sione Vaki,RB,117,43,DET,6,4.0,0.29,0.8,270,45.0,-106.4,-145.0,-34.8,-110.2,0,
526,Tanner Hudson,TE,93,28,CIN,6,5.8,0.41,0.84,270,45.0,-106.5,-145.1,-34.8,-110.3,0,
527,Antonio Gibson,RB,118,43,FA,0,3.9,0.3,0.76,270,45.0,-106.5,-145.1,-34.8,-110.3,0,
528,Stone Smartt,TE,94,28,NO,8,5.7,0.4,0.84,270,45.0,-106.6,-145.2,-34.8,-110.4,0,
529,Connor Heyward,RB,119,43,LV,13,14.7,1.08,0.8,682.0,150.0,-106.7,-134.3,-55.4,-78.9,0,
530,Drew Ogletree,TE,95,29,IND,13,5.4,0.38,0.84,270,45.0,-106.7,-145.5,-34.8,-110.7,0,
531,Trent Sherfield,WR,209,57,BUF,7,3.9,0.27,0.85,699.3,153.8,-106.9,-134.2,-56.2,-78.0,0,
532,Skyy Moore,WR,210,58,GB,11,3.0,0.21,0.85,685.4,150.8,-107.3,-135.1,-55.6,-79.5,0,
533,Gage Larvadain,WR,211,59,FA,0,1.9,0.13,0.85,648.0,142.6,-107.3,-136.2,-53.7,-82.5,0,
534,Blake Whiteheart,TE,96,30,CLE,11,4.4,0.31,0.84,270,45.0,-107.4,-146.5,-34.8,-111.7,0,
535,Luke Farrell,TE,97,30,SF,8,10.1,0.71,0.84,491.0,108.0,-107.6,-140.8,-45.8,-95.0,0,
536,Ben Yurosek,TE,98,31,MIN,6,4.0,0.28,0.84,270,45.0,-107.7,-146.9,-34.8,-112.1,0,
537,Jaydn Ott,RB,120,44,KC,5,11.2,0.82,0.808,635.8,139.9,-108.1,-137.8,-53.1,-84.7,0,
538,Clyde Edwards-Helaire,RB,121,45,FA,0,0.8,0.06,0.8,270,45.0,-108.5,-148.2,-34.8,-113.4,0,
539,Ben Skowronek,WR,212,60,PIT,9,0.6,0.04,0.807,667.7,146.9,-108.5,-137.5,-54.7,-82.8,0,
540,Josh Whyle,TE,99,31,GB,11,13.8,0.97,0.84,695.5,153.0,-108.7,-137.1,-56.1,-81.0,0,
541,Ko Kieft,TE,100,32,TB,10,2.3,0.16,0.84,270,45.0,-108.8,-148.6,-34.8,-113.8,0,
542,Shane Zylstra,TE,101,32,NE,11,2.3,0.16,0.84,270,45.0,-108.8,-148.6,-34.8,-113.8,0,
543,Feleipe Franks,TE,102,33,CAR,5,1.9,0.13,0.84,270,45.0,-109.0,-149.0,-34.8,-114.2,0,
544,Elijah Mitchell,RB,122,45,FA,0,9.3,0.72,0.76,655.5,144.2,-109.7,-139.7,-54.1,-85.6,0,
545,Quintin Morris,TE,103,33,JAX,7,8.0,0.56,0.84,559.5,123.1,-110.1,-142.9,-49.3,-93.6,0,
546,Payne Durham,TE,104,33,TB,10,8.1,0.57,0.84,564.0,124.1,-110.1,-142.8,-49.5,-93.3,0,
547,Foster Moreau,TE,105,33,HOU,8,9.8,0.69,0.84,638.3,140.4,-110.3,-141.1,-53.2,-87.9,0,
548,Dean Connors,RB,123,46,LAR,11,8.4,0.61,0.808,666.2,146.6,-110.5,-140.6,-54.6,-86.0,0,
549,Riley Nowakowski,TE,106,33,PIT,9,9.6,0.67,0.84,643.4,141.5,-110.6,-141.3,-53.5,-87.8,0,
550,Durham Smythe,TE,107,33,BAL,13,9.9,0.69,0.84,677.8,149.1,-111.0,-141.0,-55.2,-85.8,0,
551,Michael Carter,RB,124,46,TEN,9,8.1,0.6,0.8,686.5,151.0,-111.0,-140.9,-55.6,-85.3,0,
552,Ian Thomas,TE,108,34,LV,13,4.0,0.28,0.84,471.3,103.7,-111.2,-146.9,-44.8,-102.1,0,
553,Pierre Strong,RB,125,47,GB,11,7.5,0.55,0.8,682.0,150.0,-111.4,-141.5,-55.4,-86.1,0,
554,Jack Stoll,TE,109,34,FA,0,7.5,0.55,0.798,621.3,136.7,-111.5,-143.4,-52.3,-91.1,0,
